GeneName,NC_291_C_Pa_yr2,NC_294_C_Pa_yr2,NC_297_C_Pa_yr2,NC_300_C_Pa_yr2,NC_313_C_Pa_yr2,NC_316_C_Pa_yr2,NC_319_C_Pa_yr2,NC_322_C_Pa_yr2,NC_325_C_Pa_yr2,NO_265_La_Pa_yr2,NO_268_La_Pa_yr2,NO_271_La_Pa_yr2,NO_274_La_Pa_yr2,NO_277_La_Pa_yr2,NO_280_La_Pa_yr2,NO_289_La_Pa_yr2,NO_266_N_Pa_yr2,NO_272_N_Pa_yr2,NO_275_N_Pa_yr2,NO_278_N_Pa_yr2,NC_292_La_Pa_yr2,NC_295_La_Pa_yr2,NC_298_La_Pa_yr2,NC_311_La_Pa_yr2,NC_314_La_Pa_yr2,NC_317_La_Pa_yr2,NC_320_La_Pa_yr2,NC_326_La_Pa_yr2,NC_293_N_Pa_yr2,NC_312_N_Pa_yr2,NC_318_N_Pa_yr2,NC_327_N_Pa_yr2,NO_261_C_Pa_yr2,NO_264_C_Pa_yr2,NO_267_C_Pa_yr2,NO_270_C_Pa_yr2,NO_276_C_Pa_yr2,NO_279_C_Pa_yr2,NO_282_C_Pa_yr2,NO_288_C_Pa_yr2
GCKDGN101A00AO_Past,0,0,3,4,3,2,2,1,2,0,0,2,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,3,1,1,4
GCKDGN101A00ZL_Past,1,1,4,0,1,3,1,0,10,0,0,1,0,3,0,1,2,0,1,2,0,3,2,0,9,9,0,1,0,0,0,1,3,3,1,1,3,2,3,7
GCKDGN101A028J_Past,0,1,2,1,0,0,4,0,5,1,0,2,1,0,0,2,0,0,2,0,0,7,3,0,6,4,0,2,0,0,2,0,3,3,0,0,2,6,0,1
GCKDGN101A02W5_Past,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,2,0,0,0,1,0,0
GCKDGN101A03QE_Past,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
GCKDGN101A03XE_Past,0,1,0,1,1,0,0,0,3,0,2,2,0,1,0,2,2,0,0,1,0,1,0,0,2,0,0,0,0,0,6,0,2,2,1,1,0,0,0,2
GCKDGN101A0607_Past,1,1,2,0,4,4,2,0,3,0,0,1,0,1,0,2,0,0,2,0,0,1,0,0,2,3,0,1,0,0,0,1,6,0,3,2,0,2,1,0
GCKDGN101A06FB_Past,0,0,1,5,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,1,1,0,0,0,0,2
GCKDGN101A0884_Past,1,4,0,3,0,2,0,0,5,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,3,1,0,0,0,0,1,0,8,3,4,1,3,2,2,2
GCKDGN101A08CL_Past,5,13,5,7,4,9,2,3,16,1,0,3,0,3,0,5,5,0,0,7,0,4,0,0,5,6,0,9,0,0,3,3,3,3,6,0,2,6,2,8
GCKDGN101A08WT_Past,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A096T_Past,3,5,3,13,0,2,1,2,5,0,0,2,0,4,0,5,3,0,1,4,0,2,1,0,1,5,0,1,0,0,1,3,9,5,6,1,0,7,2,7
GCKDGN101A097A_Past,3,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
GCKDGN101A0ABX_Past,4,3,0,6,2,3,3,1,7,0,0,2,0,3,0,9,2,0,0,4,0,1,0,0,0,3,0,3,0,0,0,5,3,3,14,1,4,2,4,4
GCKDGN101A0AQ5_Past,2,1,3,2,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,5,0,3,1,0,2
GCKDGN101A0CJ2_Past,0,2,4,1,0,0,0,0,3,0,0,0,1,6,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,1,1,0,1
GCKDGN101A0I25_Past,2,6,7,2,4,8,3,1,10,0,0,0,1,2,0,7,2,0,2,10,0,1,0,1,0,3,0,2,0,0,0,2,4,7,3,3,8,10,1,3
GCKDGN101A0KR8_Past,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1
GCKDGN101A0KSC_Past,3,3,6,5,3,7,7,0,6,0,0,6,2,4,0,2,2,0,2,2,0,0,6,0,6,6,0,0,0,0,3,2,8,7,3,0,2,4,5,5
GCKDGN101A0LCS_Past,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,3,0,0,1,0,2,0,0,2,2,0,0,0,0,0,1,3,1,2,0,0,0,0,0
GCKDGN101A0M5U_Past,12,20,19,27,7,9,11,8,65,0,0,8,1,4,0,25,4,1,11,13,0,5,1,0,7,12,0,27,0,0,9,42,23,27,6,6,11,19,8,12
GCKDGN101A0M8H_Past,0,0,3,1,2,0,2,0,2,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,4,0,1,1,1,0,0,2,3,0
GCKDGN101A0NCL_Past,1,2,4,1,0,2,2,0,2,0,0,1,0,1,0,1,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0
GCKDGN101A0P88_Past,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
GCKDGN101A0Q54_Past,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1
GCKDGN101A0QJB_Past,2,6,1,4,1,1,2,0,2,1,0,0,2,1,0,3,2,0,2,1,0,0,1,0,1,0,0,2,0,0,3,1,2,2,1,0,0,3,0,1
GCKDGN101A0RO1_Past,2,0,2,0,0,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2
GCKDGN101A0RS6_Past,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0
GCKDGN101A0S0M_Past,0,1,4,1,1,2,3,0,7,0,0,4,1,3,0,0,4,0,2,1,0,6,2,0,5,4,0,1,0,0,6,3,2,0,0,1,1,5,0,5
GCKDGN101A0S2C_Past,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A0S84_Past,0,4,2,3,3,10,4,0,10,0,0,1,1,3,1,3,2,1,5,5,0,2,1,0,2,5,0,1,0,0,4,2,7,8,3,1,4,7,1,3
GCKDGN101A0SFL_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCKDGN101A0SI8_Past,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,2,0,0,15,0,0,1,0,0,0,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0
GCKDGN101A0UWI_Past,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
GCKDGN101A0ZFB_Past,2,1,0,4,2,1,0,0,3,0,0,2,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,3,1,3,1,0,0,1,0,2,2
GCKDGN101A10C1_Past,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
GCKDGN101A10D0_Past,2,4,1,6,1,7,7,1,15,0,0,5,0,3,0,1,0,0,6,1,0,3,1,0,5,6,1,2,0,0,7,1,1,0,1,1,2,4,2,4
GCKDGN101A118P_Past,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GCKDGN101A12VJ_Past,2,7,5,12,2,5,3,0,12,0,0,0,0,3,0,5,2,0,2,0,0,6,0,0,1,3,0,8,0,0,0,5,6,4,6,4,4,2,1,4
GCKDGN101A13AQ_Past,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A13V9_Past,1,2,6,7,5,0,3,0,7,0,0,6,12,0,0,3,0,0,0,2,0,9,9,0,5,5,0,1,0,0,3,0,1,5,1,0,2,1,2,2
GCKDGN101A14KT_Past,3,2,3,0,0,3,0,3,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,1,1,0,0,1,0,1
GCKDGN101A14VE_Past,0,3,0,1,3,0,0,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,1,1,0,2
GCKDGN101A15QU_Past,2,4,2,2,0,1,1,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,2,3,1,0,0,3,1,1
GCKDGN101A177T_Past,1,1,2,3,2,0,3,0,6,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,3,0,0,2,0,0,1
GCKDGN101A17ZT_Past,0,1,2,2,2,5,2,2,1,0,0,1,1,0,0,5,1,0,0,5,0,1,0,0,4,3,0,2,0,0,1,2,1,3,1,1,1,9,0,3
GCKDGN101A18J6_Past,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,1,0,1,2,2,0,1
GCKDGN101A19EE_Past,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
GCKDGN101A1CPM_Past,7,3,1,0,1,1,4,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,2,0,1,1,0,0,1
GCKDGN101A1CXO_Past,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
GCKDGN101A1KRI_Past,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A1LTI_Past,4,2,0,0,1,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,1,0,1,0,1,0,1,3
GCKDGN101A1O0W_Past,0,0,0,4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0
GCKDGN101A1Q78_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A1QPN_Past,1,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
GCKDGN101A1T4S_Past,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,2,0,0,0,0
GCKDGN101A1TLT_Past,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
GCKDGN101A1TOY_Past,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A1V7Z_Past,0,4,0,2,1,4,4,1,7,0,0,1,2,3,0,0,1,0,1,3,0,3,2,0,0,6,0,1,0,0,2,0,0,0,1,1,0,1,1,2
GCKDGN101A1VC2_Past,0,0,4,1,0,0,1,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0
GCKDGN101A1W0E_Past,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0
GCKDGN101A2042_Past,1,4,2,3,0,0,2,1,6,0,0,1,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,3,3,2,1,0,0,2,2,4
GCKDGN101A20KS_Past,3,6,1,6,3,4,0,0,6,0,0,2,0,2,0,3,2,0,1,3,0,5,5,0,4,1,0,3,0,0,1,2,0,9,6,3,3,10,0,5
GCKDGN101A218V_Past,4,2,0,3,1,6,2,0,2,0,0,0,0,0,0,2,2,2,0,1,0,1,0,0,0,2,1,0,0,0,0,2,0,1,0,0,2,0,0,1
GCKDGN101A22GA_Past,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GCKDGN101A23YI_Past,1,4,5,5,1,4,2,1,6,0,0,2,3,3,1,6,1,0,7,3,0,5,7,0,5,1,0,0,0,0,9,3,9,0,2,0,3,2,0,3
GCKDGN101A28J5_Past,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,1
GCKDGN101A2AOO_Past,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
GCKDGN101A2BO2_Past,2,9,9,13,2,6,2,2,11,0,0,4,2,5,0,9,5,0,2,11,0,5,9,0,10,4,0,0,0,0,0,1,9,6,3,5,6,11,3,6
GCKDGN101A2BOP_Past,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2
GCKDGN101A2DAG_Past,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
GCKDGN101A2DX5_Past,1,1,0,2,0,1,0,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GCKDGN101A2DZK_Past,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GCKDGN101A2EHS_Past,1,11,3,13,0,0,1,5,7,0,0,1,1,7,0,12,2,0,0,3,0,0,2,0,3,1,0,3,1,0,0,5,5,12,0,1,2,5,3,2
GCKDGN101A2FEY_Past,0,1,3,2,0,1,3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2
GCKDGN101A2JR9_Past,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A2K37_Past,0,0,1,4,0,0,2,0,5,1,0,1,0,0,0,1,1,0,0,1,0,3,1,0,1,3,0,0,0,0,1,0,1,1,0,0,4,0,0,1
GCKDGN101A2LIL_Past,1,0,0,1,0,1,1,0,4,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,2,2,0,1,0,0,0,2
GCKDGN101A2NQR_Past,7,13,12,9,9,9,7,2,15,0,0,4,6,4,0,6,1,0,7,2,0,8,3,0,1,4,0,4,0,0,8,4,7,3,5,5,6,11,8,7
GCKDGN101A2NZY_Past,0,1,2,6,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1,2,1,6
GCKDGN101A2OAY_Past,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,4,2,0,0,0,0,2,1,0,0,2,0,0,0,0,2
GCKDGN101A2PU8_Past,2,5,1,1,0,2,1,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2
GCKDGN101A2QVI_Past,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,1,0,1
GCKDGN101A2R04_Past,2,2,2,1,1,2,1,3,2,0,0,3,0,1,0,1,2,0,0,1,0,0,1,0,0,3,0,1,0,0,2,0,2,0,0,0,0,1,0,1
GCKDGN101A2TT4_Past,0,0,0,0,0,1,1,0,4,0,0,2,2,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,3,0,0,3,1,0,0
GCKDGN101A2V3C_Past,7,16,2,0,3,7,5,5,35,0,0,0,9,4,0,44,23,0,11,29,1,7,0,0,14,1,0,3,0,0,7,16,5,1,15,1,8,0,1,10
GCKDGN101A2WY5_Past,0,1,1,6,2,0,0,1,7,0,0,2,0,1,0,1,1,0,1,3,0,2,0,0,3,1,0,0,0,0,1,0,3,3,2,1,1,2,1,4
GCKDGN101A32G8_Past,3,12,10,0,16,3,5,4,11,0,0,0,1,3,0,29,12,0,0,27,0,2,0,0,6,7,1,4,0,0,1,5,2,1,12,0,3,5,3,6
GCKDGN101A33CU_Past,5,5,3,1,3,14,7,0,15,0,0,4,9,2,0,1,4,0,14,3,0,3,0,0,1,4,0,10,0,0,11,6,1,1,0,4,4,1,0,4
GCKDGN101A33VX_Past,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,4,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GCKDGN101A34D9_Past,0,0,1,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
GCKDGN101A35AI_Past,1,3,6,1,2,1,0,1,2,0,1,1,2,4,0,2,3,0,1,4,0,0,3,0,2,1,0,0,0,0,2,0,3,1,0,1,1,1,4,1
GCKDGN101A35CP_Past,0,2,1,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,2,2,1,1,1,1
GCKDGN101A38H8_Past,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A38VU_Past,0,3,1,0,1,1,0,0,3,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
GCKDGN101A39MO_Past,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GCKDGN101A39U8_Past,1,2,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,4,0,1
GCKDGN101A3A1B_Past,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GCKDGN101A3AVK_Past,1,4,2,6,0,1,0,0,5,0,0,0,1,0,0,2,2,0,0,3,0,0,0,0,3,3,0,0,0,0,0,1,3,2,0,0,1,3,2,4
GCKDGN101A3EUL_Past,1,4,2,1,1,2,4,1,9,0,0,2,0,1,0,2,0,0,2,1,0,0,2,0,0,2,0,6,0,0,4,5,0,3,3,2,0,1,3,3
GCKDGN101A3FW4_Past,4,7,5,6,4,4,5,1,15,0,1,3,1,0,0,3,1,0,0,3,0,2,0,0,2,1,0,0,0,0,6,4,1,9,1,2,1,5,0,7
GCKDGN101A3GMY_Past,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCKDGN101A3LA5_Past,3,4,0,6,3,2,1,0,8,0,0,0,0,1,0,4,4,0,0,1,0,3,3,0,2,4,0,1,0,0,9,0,3,6,2,3,1,5,2,1
GCKDGN101A3LGC_Past,0,2,1,3,0,3,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,0,0
GCKDGN101A3MZM_Past,1,3,1,3,1,0,1,0,2,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,1,0,0
GCKDGN101A3N2H_Past,5,11,12,14,3,9,5,3,15,0,0,3,8,2,0,11,3,0,8,4,0,3,7,0,1,9,0,5,0,0,3,8,2,13,4,1,6,11,1,8
GCKDGN101A3NNK_Past,5,3,2,2,2,3,5,2,0,0,0,0,0,1,0,1,1,0,2,3,0,0,1,0,0,2,0,1,0,0,4,2,2,0,1,2,3,1,2,2
GCKDGN101A3QHI_Past,3,5,2,4,2,6,1,0,5,1,0,0,1,1,0,1,2,0,2,4,0,5,0,0,1,3,0,1,0,0,2,1,1,3,3,0,0,1,2,0
GCKDGN101A3QMF_Past,4,3,1,6,1,3,1,2,0,0,0,2,0,0,0,0,1,0,5,2,0,1,0,0,0,2,0,0,0,0,2,0,3,1,2,0,0,4,0,3
GCKDGN101A3RJK_Past,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,3,1,4
GCKDGN101A3SQJ_Past,0,2,1,3,1,3,1,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
GCKDGN101A3TPT_Past,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GCKDGN101A3WSA_Past,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GCKDGN101A3WTT_Past,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0
GCKDGN101A3WZT_Past,0,2,1,8,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0
GCKDGN101A3YQM_Past,0,0,3,2,7,1,1,1,3,0,0,1,1,4,0,3,2,0,0,0,0,2,1,0,3,0,0,0,0,0,2,2,1,1,0,0,2,2,0,2
GCKDGN101A3ZIL_Past,0,1,1,3,2,1,0,4,1,0,0,0,0,0,0,3,1,0,8,3,0,0,0,0,1,2,0,0,0,0,4,2,0,1,1,0,2,2,0,6
GCKDGN101A3ZVE_Past,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,3,1,0,0,0,0,0,2,0,0,0,1,1,1,1,0
GCKDGN101A40XG_Past,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GCKDGN101A44RN_Past,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
GCKDGN101A44VH_Past,5,14,0,9,5,5,2,3,18,0,0,8,1,4,0,21,8,0,8,12,0,4,4,0,3,6,0,5,0,0,2,10,20,13,25,2,11,5,6,9
GCKDGN101A45U8_Past,0,1,2,2,0,0,1,0,2,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GCKDGN101A46X0_Past,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0
GCKDGN101A4805_Past,0,2,0,1,0,2,3,3,2,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0
GCKDGN101A48S3_Past,0,4,7,8,1,0,3,2,2,0,0,1,0,3,0,3,5,0,0,1,0,3,1,0,0,2,0,1,0,0,1,0,4,3,0,1,2,8,2,7
GCKDGN101A48ZU_Past,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GCKDGN101A49CB_Past,1,2,3,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,4,0,1,1,0,1,0,0,1,0,0,0,0,0,3,1,2,0
GCKDGN101A4FGV_Past,1,1,4,2,1,2,0,2,5,0,0,2,3,1,0,2,3,0,0,0,0,0,0,0,4,1,0,1,0,0,3,1,2,1,0,1,0,1,0,2
GCKDGN101A4G6Y_Past,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
GCKDGN101A4H5X_Past,0,1,0,1,0,1,1,0,5,0,0,1,0,2,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1,3,0,2,4,1,3
GCKDGN101A4I32_Past,2,0,1,3,2,0,5,1,4,0,1,3,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,1,1,1,0,2,1,2,0,3
GCKDGN101A4ILS_Past,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1
GCKDGN101A4JA1_Past,0,5,0,7,3,4,5,1,13,1,0,2,0,0,0,3,3,0,0,0,0,4,2,0,0,4,0,0,0,0,5,0,1,3,1,0,0,4,1,4
GCKDGN101A4JC9_Past,1,2,0,2,0,2,1,0,1,0,0,0,1,2,0,2,1,1,1,0,0,0,1,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,0,2
GCKDGN101A4JTF_Past,0,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1
GCKDGN101A4JVH_Past,5,5,3,3,2,5,0,1,2,0,0,3,0,0,0,4,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,1,2,3,3,0,4,2,1,2
GCKDGN101A4JZ5_Past,0,2,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2
GCKDGN101A4LIT_Past,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
GCKDGN101A4LJ1_Past,1,3,1,1,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
GCKDGN101A4M6J_Past,1,14,17,16,8,11,10,8,12,0,1,4,7,14,0,16,9,0,3,19,0,14,10,0,8,9,0,2,0,2,10,7,11,4,13,6,13,15,8,11
